Generation,Min_Fitness,Avg_Fitness
0,66.41514003045276,79.91750388853949
1,65.21776490438286,75.87291632034645
2,61.058097474675264,73.93758988914259
3,61.57377338043996,72.41589914678408
4,61.10270118571926,69.88223730742725
5,58.74790225277626,68.41781565324021
6,57.08724943801079,65.91039531095448
7,56.80430787406198,64.11938084334281
8,56.85251137317763,62.134042320722585
9,56.098448132342284,59.99453952388134
10,55.601239203660285,58.68220731609716
11,55.053836403353394,57.769530856601065
12,55.11759948591003,57.15888720500666
13,53.90139831346562,56.491912865897746
14,52.98655336753994,56.089281249176366
15,52.959654042710184,55.686721217083594
16,52.83579535212415,55.10021340451784
17,51.562290864948444,54.57700731788794
18,51.03270009969259,53.949926860946604
19,50.72625877529529,53.498120771314504
20,50.48588787850315,52.884628778604295
21,49.53230024398242,52.32663061704834
22,49.19921765035717,51.7336671651845
23,47.99699305768084,51.119415708716495
24,47.88605186252521,50.464413545527826
25,47.75881368412874,50.03512034266212
26,47.67697239087115,49.535997420803916
27,47.11920986707048,48.868592151159646
28,46.53339307856183,48.34839929304142
29,46.60951027973423,48.00980883285375
30,46.026311973833614,47.63869775252929
31,46.13594998497329,47.25547159458301
32,45.22707918587035,47.04343486584935
33,45.194521001073326,46.82154660268425
34,44.625368317931674,46.4795371372756
35,44.56403102950155,46.05573452345153
36,44.36023894087522,45.612435686480815
37,43.84018807641428,45.2440484642075
38,43.740404250561376,44.96965228063068
39,43.44293967104402,44.60535532154565
40,43.234156766365984,44.36798933032207
41,42.4824308149394,44.12488372817195
42,42.628155461266324,43.94249250433122
43,42.093853828951765,43.627524362448575
44,41.632569818319645,43.46311462251186
45,41.20626606195097,43.255888514137666
46,41.35329005807911,42.914587031773635
47,41.32808723839767,42.71976020812533
48,41.11664993027089,42.394839338207674
49,40.73050335168969,42.036404503720924
50,40.135186684501654,41.85123435972271
51,39.96208118295888,41.55150549383145
52,39.61929763922288,41.355961565577026
53,39.6961864003859,41.11141296875882
54,39.57595417626452,40.881229323521005
55,39.079045315454934,40.603933366463146
56,38.761367739223935,40.30100291801907
57,38.22308315608353,40.014509601754405
58,38.14954100161281,39.80996424051425
59,38.07830735317344,39.58727227312143
60,37.781431937624205,39.30268763905769
61,37.331458675411824,38.92642276054671
62,36.66128507314261,38.708452309731825
63,36.68279459052033,38.400735354320574
64,36.93636958448784,38.162586534642685
65,37.018165234794,38.000955452850945
66,36.574758282735516,37.831854767206494
67,36.525611064992134,37.76857392094399
68,36.21944536201111,37.60327606832065
69,36.07661607847369,37.363070657375204
70,35.87582291249719,37.116354363934846
71,35.76953221754707,36.94903368239707
72,35.613261015519804,36.826292972617914
73,35.26936874136382,36.66181658184349
74,35.33921568180137,36.579402302850525
75,35.38412186288401,36.34884400281717
76,35.195787051271886,36.2908050687343
77,34.90153895457664,36.180656197602225
78,34.8869464848339,36.010263516778046
79,34.841499896717416,35.87638442724561
80,34.87769252480858,35.9484439643533
81,34.716785628662095,35.79169209640279
82,34.65433123428588,35.69588363755755
83,34.49140936034414,35.60863111716125
84,34.57056358323936,35.497123094822776
85,34.590601215362604,35.48063397484814
86,34.45770660647372,35.306475373927526
87,34.347196736763394,35.199752470337344
88,34.369816800382935,35.19273768056573
